Reading process/ZINC2/R.haps.chrX.out.rds 
  4544 windows | step 5000 bp | smooth_half 50

=== RAW freq (before masking) for B2/B4, pos > 20Mb, REP=1, TRT=C ===
 founder      pos n_pools     mean_freq      min_freq      max_freq
      B2 21265000       1  7.477734e-03  7.477734e-03  7.477734e-03
      B2 21270000       1  4.946071e-03  4.946071e-03  4.946071e-03
      B2 21275000       1  1.677469e-02  1.677469e-02  1.677469e-02
      B2 21280000       1  1.700778e-02  1.700778e-02  1.700778e-02
      B2 21285000       1  1.962653e-02  1.962653e-02  1.962653e-02
      B2 21290000       1  1.998674e-02  1.998674e-02  1.998674e-02
      B2 21295000       1  2.046787e-02  2.046787e-02  2.046787e-02
      B2 21300000       1  2.013156e-02  2.013156e-02  2.013156e-02
      B2 21305000       1  1.665131e-02  1.665131e-02  1.665131e-02
      B2 21310000       1  1.173163e-02  1.173163e-02  1.173163e-02
      B2 21315000       1  1.178592e-02  1.178592e-02  1.178592e-02
      B2 21320000       1  1.053948e-02  1.053948e-02  1.053948e-02
      B2 21325000       1  8.544008e-03  8.544008e-03  8.544008e-03
      B2 21330000       1  4.542308e-03  4.542308e-03  4.542308e-03
      B2 21335000       1  4.740388e-03  4.740388e-03  4.740388e-03
      B2 21340000       1  5.716176e-03  5.716176e-03  5.716176e-03
      B2 21345000       1  4.420669e-03  4.420669e-03  4.420669e-03
      B2 21350000       1  3.083484e-03  3.083484e-03  3.083484e-03
      B2 21355000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21360000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21365000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21370000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21375000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21380000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21385000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21390000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21395000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21400000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21405000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21410000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21415000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21420000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21425000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21430000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21435000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21440000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21445000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21450000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21455000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21460000       1  8.455314e-04  8.455314e-04  8.455314e-04
      B2 21465000       1  1.096448e-03  1.096448e-03  1.096448e-03
      B2 21470000       1  3.026319e-03  3.026319e-03  3.026319e-03
      B2 21475000       1  1.642494e-03  1.642494e-03  1.642494e-03
      B2 21480000       1  4.358801e-04  4.358801e-04  4.358801e-04
      B2 21485000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21490000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21495000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21500000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21505000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21510000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21515000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21520000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21525000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21530000       1  1.597975e-03  1.597975e-03  1.597975e-03
      B2 21535000       1  4.428711e-03  4.428711e-03  4.428711e-03
      B2 21540000       1  4.851904e-03  4.851904e-03  4.851904e-03
      B2 21545000       1  3.773252e-03  3.773252e-03  3.773252e-03
      B2 21550000       1  4.016456e-03  4.016456e-03  4.016456e-03
      B2 21555000       1  3.595272e-03  3.595272e-03  3.595272e-03
      B2 21560000       1  2.531945e-03  2.531945e-03  2.531945e-03
      B2 21565000       1  1.486947e-03  1.486947e-03  1.486947e-03
      B2 21570000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21575000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21580000       1  2.705283e-03  2.705283e-03  2.705283e-03
      B2 21585000       1  5.189184e-03  5.189184e-03  5.189184e-03
      B2 21590000       1  3.499556e-03  3.499556e-03  3.499556e-03
      B2 21595000       1  3.499556e-03  3.499556e-03  3.499556e-03
      B2 21600000       1  3.499556e-03  3.499556e-03  3.499556e-03
      B2 21605000       1  5.112586e-03  5.112586e-03  5.112586e-03
      B2 21610000       1  4.769075e-03  4.769075e-03  4.769075e-03
      B2 21615000       1  6.044510e-03  6.044510e-03  6.044510e-03
      B2 21620000       1  5.432403e-03  5.432403e-03  5.432403e-03
      B2 21625000       1  6.312670e-03  6.312670e-03  6.312670e-03
      B2 21630000       1  5.467809e-03  5.467809e-03  5.467809e-03
      B2 21635000       1  3.233570e-03  3.233570e-03  3.233570e-03
      B2 21640000       1  1.367559e-03  1.367559e-03  1.367559e-03
      B2 21645000       1  2.362234e-03  2.362234e-03  2.362234e-03
      B2 21650000       1  2.446416e-03  2.446416e-03  2.446416e-03
      B2 21655000       1  3.103261e-03  3.103261e-03  3.103261e-03
      B2 21660000       1  6.135251e-04  6.135251e-04  6.135251e-04
      B2 21665000       1  6.135251e-04  6.135251e-04  6.135251e-04
      B2 21670000       1  7.810581e-04  7.810581e-04  7.810581e-04
      B2 21675000       1  1.806387e-03  1.806387e-03  1.806387e-03
      B2 21680000       1  6.172314e-04  6.172314e-04  6.172314e-04
      B2 21685000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21690000       1  1.369555e-03  1.369555e-03  1.369555e-03
      B2 21695000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21700000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21705000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21710000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21715000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21720000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21725000       1 -1.719520e+01 -1.719520e+01 -1.719520e+01
      B2 21730000       1 -1.673559e+01 -1.673559e+01 -1.673559e+01
      B2 21735000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21740000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21745000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21750000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21755000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21760000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21765000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21770000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21775000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21780000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21785000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21790000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21795000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21800000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21805000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21810000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21815000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21820000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21825000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21830000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 21835000       1  4.382301e-02  4.382301e-02  4.382301e-02
      B2 22085000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22090000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22095000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22100000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22105000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22110000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22115000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22120000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22125000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22130000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22135000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22140000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22145000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22150000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22155000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22160000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22165000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22170000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22360000       1  2.508937e-02  2.508937e-02  2.508937e-02
      B2 22365000       1  1.647288e-02  1.647288e-02  1.647288e-02
      B2 22370000       1  1.647288e-02  1.647288e-02  1.647288e-02
      B2 22375000       1  1.378082e-02  1.378082e-02  1.378082e-02
      B2 22380000       1  1.575009e-02  1.575009e-02  1.575009e-02
      B2 22385000       1  3.664862e-03  3.664862e-03  3.664862e-03
      B2 22390000       1  7.967868e-04  7.967868e-04  7.967868e-04
      B2 22395000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22400000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22405000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22410000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22415000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22420000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22425000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22430000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22435000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22440000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22445000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22450000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22455000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22460000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22465000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22470000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22475000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22480000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22485000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B2 22490000       1  1.642228e-03  1.642228e-03  1.642228e-03
      B2 22495000       1  3.208078e-03  3.208078e-03  3.208078e-03
      B4 21005000       1  1.691508e-01  1.691508e-01  1.691508e-01
      B4 21010000       1  1.715723e-01  1.715723e-01  1.715723e-01
      B4 21015000       1  1.726912e-01  1.726912e-01  1.726912e-01
      B4 21020000       1  1.746014e-01  1.746014e-01  1.746014e-01
      B4 21025000       1  1.748982e-01  1.748982e-01  1.748982e-01
      B4 21030000       1  1.738311e-01  1.738311e-01  1.738311e-01
      B4 21035000       1  1.707385e-01  1.707385e-01  1.707385e-01
      B4 21040000       1  1.750679e-01  1.750679e-01  1.750679e-01
      B4 21045000       1  1.745516e-01  1.745516e-01  1.745516e-01
      B4 21050000       1  1.784955e-01  1.784955e-01  1.784955e-01
      B4 21055000       1  1.782981e-01  1.782981e-01  1.782981e-01
      B4 21060000       1  1.803691e-01  1.803691e-01  1.803691e-01
      B4 21065000       1  1.789712e-01  1.789712e-01  1.789712e-01
      B4 21070000       1  1.797323e-01  1.797323e-01  1.797323e-01
      B4 21075000       1  1.743187e-01  1.743187e-01  1.743187e-01
      B4 21080000       1  1.770949e-01  1.770949e-01  1.770949e-01
      B4 21085000       1  1.763252e-01  1.763252e-01  1.763252e-01
      B4 21090000       1  1.805324e-01  1.805324e-01  1.805324e-01
      B4 21095000       1  1.838478e-01  1.838478e-01  1.838478e-01
      B4 21100000       1  1.847193e-01  1.847193e-01  1.847193e-01
      B4 21105000       1  1.850471e-01  1.850471e-01  1.850471e-01
      B4 21110000       1  1.697616e-01  1.697616e-01  1.697616e-01
      B4 21115000       1  1.707955e-01  1.707955e-01  1.707955e-01
      B4 21120000       1  1.691180e-01  1.691180e-01  1.691180e-01
      B4 21125000       1  1.636667e-01  1.636667e-01  1.636667e-01
      B4 21130000       1  1.706839e-01  1.706839e-01  1.706839e-01
      B4 21135000       1  1.657683e-01  1.657683e-01  1.657683e-01
      B4 21140000       1  1.651304e-01  1.651304e-01  1.651304e-01
      B4 21145000       1  1.647803e-01  1.647803e-01  1.647803e-01
      B4 21150000       1  1.651698e-01  1.651698e-01  1.651698e-01
      B4 21155000       1  1.668292e-01  1.668292e-01  1.668292e-01
      B4 21160000       1  1.665170e-01  1.665170e-01  1.665170e-01
      B4 21165000       1  1.689768e-01  1.689768e-01  1.689768e-01
      B4 21170000       1  1.703688e-01  1.703688e-01  1.703688e-01
      B4 21175000       1  1.714696e-01  1.714696e-01  1.714696e-01
      B4 21180000       1  1.725411e-01  1.725411e-01  1.725411e-01
      B4 21185000       1  1.725316e-01  1.725316e-01  1.725316e-01
      B4 21190000       1  1.670807e-01  1.670807e-01  1.670807e-01
      B4 21195000       1  1.697694e-01  1.697694e-01  1.697694e-01
      B4 21200000       1  1.735900e-01  1.735900e-01  1.735900e-01
      B4 21205000       1  1.729148e-01  1.729148e-01  1.729148e-01
      B4 21210000       1  1.793169e-01  1.793169e-01  1.793169e-01
      B4 21215000       1  1.801760e-01  1.801760e-01  1.801760e-01
      B4 21220000       1  1.810606e-01  1.810606e-01  1.810606e-01
      B4 21225000       1  1.904959e-01  1.904959e-01  1.904959e-01
      B4 21230000       1  1.849747e-01  1.849747e-01  1.849747e-01
      B4 21235000       1  1.891237e-01  1.891237e-01  1.891237e-01
      B4 21240000       1  1.904654e-01  1.904654e-01  1.904654e-01
      B4 21245000       1  1.917317e-01  1.917317e-01  1.917317e-01
      B4 21250000       1  1.904611e-01  1.904611e-01  1.904611e-01
      B4 21255000       1  1.936401e-01  1.936401e-01  1.936401e-01
      B4 21260000       1  1.888692e-01  1.888692e-01  1.888692e-01
      B4 21265000       1  1.868318e-01  1.868318e-01  1.868318e-01
      B4 21270000       1  1.854083e-01  1.854083e-01  1.854083e-01
      B4 21275000       1  1.926598e-01  1.926598e-01  1.926598e-01
      B4 21280000       1  1.907930e-01  1.907930e-01  1.907930e-01
      B4 21285000       1  1.915165e-01  1.915165e-01  1.915165e-01
      B4 21290000       1  1.962850e-01  1.962850e-01  1.962850e-01
      B4 21295000       1  1.911835e-01  1.911835e-01  1.911835e-01
      B4 21300000       1  1.866842e-01  1.866842e-01  1.866842e-01
      B4 21305000       1  1.885551e-01  1.885551e-01  1.885551e-01
      B4 21310000       1  1.929603e-01  1.929603e-01  1.929603e-01
      B4 21315000       1  1.909904e-01  1.909904e-01  1.909904e-01
      B4 21320000       1  1.961553e-01  1.961553e-01  1.961553e-01
      B4 21325000       1  1.949952e-01  1.949952e-01  1.949952e-01
      B4 21330000       1  1.927977e-01  1.927977e-01  1.927977e-01
      B4 21335000       1  1.945538e-01  1.945538e-01  1.945538e-01
      B4 21340000       1  1.902119e-01  1.902119e-01  1.902119e-01
      B4 21345000       1  1.838506e-01  1.838506e-01  1.838506e-01
      B4 21350000       1  1.908110e-01  1.908110e-01  1.908110e-01
      B4 21355000       1  1.876323e-01  1.876323e-01  1.876323e-01
      B4 21360000       1  1.910225e-01  1.910225e-01  1.910225e-01
      B4 21365000       1  1.874928e-01  1.874928e-01  1.874928e-01
      B4 21370000       1  1.860672e-01  1.860672e-01  1.860672e-01
      B4 21375000       1  1.861924e-01  1.861924e-01  1.861924e-01
      B4 21380000       1  1.840689e-01  1.840689e-01  1.840689e-01
      B4 21385000       1  1.837191e-01  1.837191e-01  1.837191e-01
      B4 21390000       1  1.834078e-01  1.834078e-01  1.834078e-01
      B4 21395000       1  1.836744e-01  1.836744e-01  1.836744e-01
      B4 21400000       1  1.832198e-01  1.832198e-01  1.832198e-01
      B4 21405000       1  1.842260e-01  1.842260e-01  1.842260e-01
      B4 21410000       1  1.802243e-01  1.802243e-01  1.802243e-01
      B4 21415000       1  1.832172e-01  1.832172e-01  1.832172e-01
      B4 21420000       1  1.795393e-01  1.795393e-01  1.795393e-01
      B4 21425000       1  1.785071e-01  1.785071e-01  1.785071e-01
      B4 21430000       1  1.801897e-01  1.801897e-01  1.801897e-01
      B4 21435000       1  1.793097e-01  1.793097e-01  1.793097e-01
      B4 21440000       1  1.809915e-01  1.809915e-01  1.809915e-01
      B4 21445000       1  1.855473e-01  1.855473e-01  1.855473e-01
      B4 21450000       1  1.832849e-01  1.832849e-01  1.832849e-01
      B4 21455000       1  1.869181e-01  1.869181e-01  1.869181e-01
      B4 21460000       1  1.866478e-01  1.866478e-01  1.866478e-01
      B4 21465000       1  1.867562e-01  1.867562e-01  1.867562e-01
      B4 21470000       1  1.879733e-01  1.879733e-01  1.879733e-01
      B4 21475000       1  1.864592e-01  1.864592e-01  1.864592e-01
      B4 21480000       1  1.885087e-01  1.885087e-01  1.885087e-01
      B4 21485000       1  1.902593e-01  1.902593e-01  1.902593e-01
      B4 21490000       1  1.883693e-01  1.883693e-01  1.883693e-01
      B4 21495000       1  1.896330e-01  1.896330e-01  1.896330e-01
      B4 21500000       1  1.918903e-01  1.918903e-01  1.918903e-01
      B4 21505000       1  1.762036e-01  1.762036e-01  1.762036e-01
      B4 21510000       1  1.778800e-01  1.778800e-01  1.778800e-01
      B4 21515000       1  1.740558e-01  1.740558e-01  1.740558e-01
      B4 21520000       1  1.772196e-01  1.772196e-01  1.772196e-01
      B4 21525000       1  1.829982e-01  1.829982e-01  1.829982e-01
      B4 21530000       1  1.882037e-01  1.882037e-01  1.882037e-01
      B4 21535000       1  2.032577e-01  2.032577e-01  2.032577e-01
      B4 21540000       1  2.040391e-01  2.040391e-01  2.040391e-01
      B4 21545000       1  2.057049e-01  2.057049e-01  2.057049e-01
      B4 21550000       1  2.049120e-01  2.049120e-01  2.049120e-01
      B4 21555000       1  2.038738e-01  2.038738e-01  2.038738e-01
      B4 21560000       1  2.030952e-01  2.030952e-01  2.030952e-01
      B4 21565000       1  2.055765e-01  2.055765e-01  2.055765e-01
      B4 21570000       1  2.063532e-01  2.063532e-01  2.063532e-01
      B4 21575000       1  2.056127e-01  2.056127e-01  2.056127e-01
      B4 21580000       1  2.004384e-01  2.004384e-01  2.004384e-01
      B4 21585000       1  1.958736e-01  1.958736e-01  1.958736e-01
      B4 21590000       1  1.913067e-01  1.913067e-01  1.913067e-01
      B4 21595000       1  1.913067e-01  1.913067e-01  1.913067e-01
      B4 21600000       1  1.913067e-01  1.913067e-01  1.913067e-01
      B4 21605000       1  1.941513e-01  1.941513e-01  1.941513e-01
      B4 21610000       1  1.949169e-01  1.949169e-01  1.949169e-01
      B4 21615000       1  1.945479e-01  1.945479e-01  1.945479e-01
      B4 21620000       1  1.953405e-01  1.953405e-01  1.953405e-01
      B4 21625000       1  1.920180e-01  1.920180e-01  1.920180e-01
      B4 21630000       1  1.908128e-01  1.908128e-01  1.908128e-01
      B4 21635000       1  1.768030e-01  1.768030e-01  1.768030e-01
      B4 21640000       1  1.716294e-01  1.716294e-01  1.716294e-01
      B4 21645000       1  1.638250e-01  1.638250e-01  1.638250e-01
      B4 21650000       1  1.643264e-01  1.643264e-01  1.643264e-01
      B4 21655000       1  1.637670e-01  1.637670e-01  1.637670e-01
      B4 21660000       1  1.741943e-01  1.741943e-01  1.741943e-01
      B4 21665000       1  1.741943e-01  1.741943e-01  1.741943e-01
      B4 21670000       1  1.746969e-01  1.746969e-01  1.746969e-01
      B4 21675000       1  1.742456e-01  1.742456e-01  1.742456e-01
      B4 21680000       1  1.718618e-01  1.718618e-01  1.718618e-01
      B4 21685000       1  1.619096e-01  1.619096e-01  1.619096e-01
      B4 21690000       1  2.154841e-01  2.154841e-01  2.154841e-01
      B4 21695000       1  8.051932e-02  8.051932e-02  8.051932e-02
      B4 21700000       1  8.052466e-02  8.052466e-02  8.052466e-02
      B4 21705000       1  8.052466e-02  8.052466e-02  8.052466e-02
      B4 21710000       1  8.052253e-02  8.052253e-02  8.052253e-02
      B4 21715000       1  8.052253e-02  8.052253e-02  8.052253e-02
      B4 21720000       1  8.052049e-02  8.052049e-02  8.052049e-02
      B4 21725000       1 -1.726102e+01 -1.726102e+01 -1.726102e+01
      B4 21730000       1 -1.688121e+01 -1.688121e+01 -1.688121e+01
      B4 21735000       1  2.041542e-01  2.041542e-01  2.041542e-01
      B4 21740000       1  1.291232e-01  1.291232e-01  1.291232e-01
      B4 21745000       1  1.262821e-01  1.262821e-01  1.262821e-01
      B4 21750000       1  1.262827e-01  1.262827e-01  1.262827e-01
      B4 21755000       1  1.262827e-01  1.262827e-01  1.262827e-01
      B4 21760000       1  8.381729e-02  8.381729e-02  8.381729e-02
      B4 21765000       1  8.381729e-02  8.381729e-02  8.381729e-02
      B4 21770000       1  8.381729e-02  8.381729e-02  8.381729e-02
      B4 21775000       1  8.381677e-02  8.381677e-02  8.381677e-02
      B4 21780000       1  8.381677e-02  8.381677e-02  8.381677e-02
      B4 21785000       1  8.381677e-02  8.381677e-02  8.381677e-02
      B4 21790000       1  8.381677e-02  8.381677e-02  8.381677e-02
      B4 21795000       1  1.072460e-01  1.072460e-01  1.072460e-01
      B4 21800000       1  1.072460e-01  1.072460e-01  1.072460e-01
      B4 21805000       1  1.072460e-01  1.072460e-01  1.072460e-01
      B4 21810000       1  1.072460e-01  1.072460e-01  1.072460e-01
      B4 21815000       1  1.072460e-01  1.072460e-01  1.072460e-01
      B4 21820000       1  1.072468e-01  1.072468e-01  1.072468e-01
      B4 21825000       1  1.072524e-01  1.072524e-01  1.072524e-01
      B4 21830000       1  8.670886e-02  8.670886e-02  8.670886e-02
      B4 21835000       1  4.374746e-02  4.374746e-02  4.374746e-02
      B4 22085000       1  2.551073e-01  2.551073e-01  2.551073e-01
      B4 22090000       1  4.425827e-02  4.425827e-02  4.425827e-02
      B4 22095000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22100000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22105000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22110000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22115000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22120000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22125000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22130000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22135000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22140000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22145000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22150000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22155000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22160000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22165000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22170000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22360000       1  2.299880e-01  2.299880e-01  2.299880e-01
      B4 22365000       1  3.068669e-02  3.068669e-02  3.068669e-02
      B4 22370000       1  3.068669e-02  3.068669e-02  3.068669e-02
      B4 22375000       1  1.097175e-02  1.097175e-02  1.097175e-02
      B4 22380000       1  3.000000e-04  3.000000e-04  3.000000e-04
      B4 22385000       1  3.000000e-04  3.000000e-04  3.000000e-04
